Loading core dump: .\Order.API-3.dmp ...
Statistics:
          MT   Count  TotalSize Class Name
7ffcf3483cf0       1         24 System.Reflection.Metadata.TypeNameParseOptions
7ffcf373d618       1         24 Microsoft.Extensions.DependencyModel.DependencyContextJsonReader+TargetLibrary[]
7ffcf37419d0       1         24 Microsoft.Extensions.DependencyModel.DependencyContextJsonReader+RuntimeTargetEntryStub[]
7ffcf39db988       1         24 Serilog.Events.EventProperty[]
7ffcf470d198       1         24 System.Reflection.CustomAttributeTypedArgument[]
7ffcf4740818       1         24 System.Reflection.CustomAttributeNamedArgument[]
7ffcf47f6030       1         24 Polly.Utilities.EmptyStruct
7ffcf4895528       1         24 System.Net.Security.SslApplicationProtocol[]
7ffcf48bfa88       1         24 System.Security.Cryptography.X509Certificates.X509ChainStatus[]
7ffcf4950100       1         24 System.Runtime.InteropServices.GCHandle[]
7ffcf4b17218       1         24 Microsoft.Extensions.Primitives.StringSegment[]
7ffcf4be86a0       1         24 System.Text.Json.Serialization.Metadata.PropertyRef[]
7ffcf52d8498       1         24 System.Collections.Generic.KeyValuePair<System.Int32, System.ValueTuple<System.Nullable<Microsoft.EntityFrameworkCore.WarningBehavior>, System.Nullable<Microsoft.Extensions.Logging.LogLevel>>>[]
7ffcf58cdec8       1         24 AutoMapper.Execution.Member[]
7ffcf59ed1b8       1         24 AutoMapper.Internal.TypePair[]
7ffcf5a66718       1         24 Microsoft.AspNetCore.Mvc.ModelBinding.DefaultModelBindingContext+State[]
7ffcf6823ee0       1         24 System.Configuration.SimpleBitVector32
7ffcf81e68a0       1         24 System.Collections.Generic.KeyValuePair<System.Diagnostics.Tracing.EtwEventProvider+SessionInfo, System.Boolean>[]
7ffcf5bb8340       1         24 Microsoft.EntityFrameworkCore.Infrastructure.DbContextModelAttribute[]
7ffcf5a6ed40       1         24 System.Text.Json.Serialization.Metadata.JsonTypeInfo<Order.Business.Mediator.Commands.Order.GetSubOrderCommand>+<>c__DisplayClass37_0
7ffcf3401e80       1         24 System.Collections.Generic.StringEqualityComparer
7ffcf3405ab0       1         24 System.OrdinalCaseSensitiveComparer
7ffcf34050a8       1         24 System.Collections.Generic.NonRandomizedStringEqualityComparer+OrdinalIgnoreCaseComparer
7ffcf3405eb0       1         24 System.OrdinalIgnoreCaseComparer
7ffcf343e4e0       1         24 System.WeakReference<System.Runtime.Loader.AssemblyLoadContext>
7ffcf34d67e8       1         24 System.Reflection.Missing
7ffcf34d6968       1         24 System.Type+<>c
7ffcf3520728       1         24 System.Buffers.SharedArrayPool<System.Char>+<>c
7ffcf3533b88       1         24 Microsoft.DotNet.HotReload.AgentReporter
7ffcf3552188       1         24 System.Collections.Generic.ObjectEqualityComparer<System.Reflection.Assembly>
7ffcf3560800       1         24 System.DefaultBinder
7ffcf61da318       1         24 System.Collections.ObjectModel.ReadOnlyCollection<System.Reflection.MemberInfo>
7ffcf356cf48       1         24 System.Collections.Concurrent.ConcurrentQueue<System.Object>[]
7ffcf356e758       1         24 System.Threading.ThreadPool+<>c
7ffcf358e958       1         24 System.Security.Claims.Claim[]
7ffcf35958a8       1         24 System.Threading.Tasks.ValueTask+ValueTaskSourceAsTask+<>c
7ffcf35a3430       1         24 System.Threading.Tasks.Task+<>c
7ffcf3596ef0       1         24 System.Threading.PortableThreadPool+WorkerThread+<>c
7ffcf35ac060       1         24 System.Buffers.SharedArrayPool<System.Byte>+<>c
7ffcf35d2f60       1         24 System.Threading.Tasks.ValueTask<System.Int32>+ValueTaskSourceAsTask+<>c
7ffcf628aa28       1         24 Microsoft.EntityFrameworkCore.SqlServer.Internal.SqlServerResources+<>c
7ffcf35ad9d8       1         24 System.Threading.Tasks.ThreadPoolTaskScheduler
7ffcf3683298       1         24 Microsoft.Extensions.Primitives.ChangeToken+<>c
7ffcf3683f70       1         24 Microsoft.Extensions.FileProviders.Physical.Internal.PathUtils+<>c
7ffcf3690310       1         24 System.Collections.Generic.ObjectEqualityComparer<Microsoft.Extensions.FileProviders.IPollingChangeToken>
7ffcf369b9c0       1         24 System.IO.FileSystemWatcher+<>c
7ffcf369c6c0       1         24 Microsoft.Extensions.Primitives.ChangeToken+ChangeTokenRegistration<System.Action>+<>c
7ffcf369cae0       1         24 Microsoft.Extensions.Primitives.CancellationChangeToken+<>c
