Loading core dump: .\Order.API-11.dmp ...
Statistics:
          MT  Count  TotalSize Class Name
7ffcd0483cf0      1         24 System.Reflection.Metadata.TypeNameParseOptions
7ffcd072d618      1         24 Microsoft.Extensions.DependencyModel.DependencyContextJsonReader+TargetLibrary[]
7ffcd07319d0      1         24 Microsoft.Extensions.DependencyModel.DependencyContextJsonReader+RuntimeTargetEntryStub[]
7ffcd1688348      1         24 System.Reflection.CustomAttributeNamedArgument[]
7ffcd1763a50      1         24 Polly.Utilities.EmptyStruct
7ffcd18058d0      1         24 System.Net.Security.SslApplicationProtocol[]
7ffcd1832e20      1         24 System.Security.Cryptography.X509Certificates.X509ChainStatus[]
7ffcd18c6aa0      1         24 System.Runtime.InteropServices.GCHandle[]
7ffcd1b3a080      1         24 Microsoft.Extensions.Primitives.StringSegment[]
7ffcd1c0d5b8      1         24 System.Text.Json.Serialization.Metadata.PropertyRef[]
7ffcd268c160      1         24 System.Collections.Generic.KeyValuePair<System.Int32, System.ValueTuple<System.Nullable<Microsoft.EntityFrameworkCore.WarningBehavior>, System.Nullable<Microsoft.Extensions.Logging.LogLevel>>>[]
7ffcd2a3d628      1         24 AutoMapper.Execution.Member[]
7ffcd2b7b5e8      1         24 AutoMapper.Internal.TypePair[]
7ffcd2def9d0      1         24 Microsoft.AspNetCore.Mvc.ModelBinding.DefaultModelBindingContext+State[]
7ffcd3d98130      1         24 System.Configuration.SimpleBitVector32
7ffcd0401e80      1         24 System.Collections.Generic.StringEqualityComparer
7ffcd0405ab0      1         24 System.OrdinalCaseSensitiveComparer
7ffcd04050a8      1         24 System.Collections.Generic.NonRandomizedStringEqualityComparer+OrdinalIgnoreCaseComparer
7ffcd0405eb0      1         24 System.OrdinalIgnoreCaseComparer
7ffcd043e4e0      1         24 System.WeakReference<System.Runtime.Loader.AssemblyLoadContext>
7ffcd04d67e8      1         24 System.Reflection.Missing
7ffcd04d6968      1         24 System.Type+<>c
7ffcd0520728      1         24 System.Buffers.SharedArrayPool<System.Char>+<>c
7ffcd0533b88      1         24 Microsoft.DotNet.HotReload.AgentReporter
7ffcd0552188      1         24 System.Collections.Generic.ObjectEqualityComparer<System.Reflection.Assembly>
7ffcd0560800      1         24 System.DefaultBinder
7ffcd056cf48      1         24 System.Collections.Concurrent.ConcurrentQueue<System.Object>[]
7ffcd056e758      1         24 System.Threading.ThreadPool+<>c
7ffcd058e958      1         24 System.Security.Claims.Claim[]
